iter	F1	Logloss
0	0.9576813422	0.5772963416
1	0.9604743342	0.4850368517
2	0.9602018415	0.4152483421
3	0.9599674916	0.3617770594
4	0.9613861451	0.3142753641
5	0.9610869209	0.2798728065
6	0.9618346583	0.2497071256
7	0.961902581	0.2276462384
8	0.9617735202	0.2104424155
9	0.961841451	0.1949545339
10	0.9618756051	0.183507466
11	0.9619226417	0.1733971858
12	0.9619297477	0.1624177151
13	0.962309931	0.1526857336
14	0.9623322608	0.1460486049
15	0.9626627091	0.1406922393
16	0.9625726483	0.1346343977
17	0.9625341044	0.1296240112
18	0.9626641602	0.1250634396
19	0.9628275601	0.1207095777
20	0.9630471117	0.118460928
21	0.9625363614	0.1164163034
22	0.9625324514	0.1127435117
23	0.9631273829	0.1108807149
24	0.9627851454	0.1088305703
25	0.9627643613	0.1075054697
26	0.9632168152	0.1062247035
27	0.9631360468	0.1052744665
28	0.9633332246	0.1026583726
29	0.9635311937	0.101900174
30	0.9636738744	0.09968828582
31	0.9636119126	0.09868741078
32	0.9640050134	0.09541274442
33	0.9640917163	0.09461739196
34	0.9641541957	0.09281196392
35	0.9644200627	0.09013487919
36	0.9646454749	0.08782436501
37	0.9648207065	0.08645658275
38	0.9650031685	0.08474733326
39	0.9651535843	0.08422227667
40	0.9653238877	0.08306235614
41	0.9656786169	0.08140013176
42	0.9658107366	0.08084745838
43	0.9659929776	0.08028640752
44	0.9661427002	0.07951672725
45	0.9663922151	0.07765229512
46	0.9666291664	0.07638908386
47	0.9667787562	0.07565670605
48	0.9670344051	0.07525827559
49	0.9672268468	0.07408862054
50	0.9675261342	0.07319759785
51	0.9678306476	0.07247015601
52	0.9680651795	0.07195121577
53	0.9683687776	0.07166091304
54	0.9687340229	0.07134066516
55	0.9689741539	0.07107121514
56	0.9692688142	0.07075145921
57	0.9695979421	0.07044117376
58	0.9699531934	0.06987106819
59	0.9703134131	0.06916577868
60	0.9705412915	0.06835272564
61	0.9708116491	0.06811703652
62	0.9710624035	0.06760547175
63	0.9715225039	0.06691988406
64	0.9718010617	0.0666531723
65	0.9722900367	0.06566581042
66	0.9725555768	0.06441439727
67	0.9728277334	0.0637683288
68	0.9731524611	0.06355287801
69	0.9735159577	0.06312099061
70	0.9739113236	0.0626346178
71	0.9744042947	0.06203883789
72	0.9747413429	0.06176303353
73	0.9750665091	0.06145366897
74	0.9754957002	0.0612159662
75	0.975719977	0.06072689306
76	0.9762655404	0.06003057838
77	0.9765731931	0.05986726906
78	0.9769001786	0.05967357069
79	0.97715076	0.05925240165
80	0.9774230059	0.05878434563
81	0.9777380598	0.05828492631
82	0.9779687841	0.05813267741
83	0.9781731706	0.05779063457
84	0.9785229118	0.05725595887
85	0.9787321497	0.0571054292
86	0.9789251704	0.0569190877
87	0.979247386	0.05674439968
88	0.9794948704	0.05651920345
89	0.9797413908	0.05590975405
90	0.9798630983	0.05561694845
91	0.9800567152	0.05551130541
92	0.9802327435	0.05513523781
93	0.9804059666	0.05501779796
94	0.9806778377	0.05440834467
95	0.9809313582	0.05386549109
96	0.9810851435	0.05371503054
97	0.9813941422	0.05328709715
98	0.9815416145	0.05310244671
99	0.9817349167	0.05298647601
100	0.9819755635	0.05286371428
101	0.9821189539	0.05273569352
102	0.9822609761	0.05261305498
103	0.9822627932	0.05247860019
104	0.9824259752	0.05220481002
105	0.9825775147	0.05192049066
106	0.9827288543	0.05165265326
107	0.9828876934	0.05153316939
108	0.9830237241	0.05116180598
109	0.983456581	0.0503880186
110	0.9836113687	0.05028690286
111	0.983741085	0.05018762655
112	0.983918753	0.05009599858
113	0.9840952019	0.04943576325
114	0.9841869531	0.04930416908
115	0.9844029592	0.04918265961
116	0.9844820448	0.04907868677
117	0.9846529893	0.04878739329
118	0.9847645892	0.04857986024
119	0.9848550642	0.04847745768
120	0.9849798886	0.04827132596
121	0.985163998	0.04803478461
122	0.9852769182	0.04778438917
123	0.9854341999	0.04753271316
124	0.9855591806	0.04743188702
125	0.9857582241	0.04712077049
126	0.9858228119	0.04702966095
127	0.9859092763	0.04681064192
128	0.9859603358	0.04673876409
129	0.9860065018	0.0466624565
130	0.9860926222	0.04653019684
131	0.9861859049	0.04643201305
132	0.9862313508	0.04636523214
133	0.9864663264	0.04581441941
134	0.9865314233	0.04572969714
135	0.9865308826	0.04564407082
136	0.9866357936	0.04558184373
137	0.9866807668	0.04546825201
138	0.9868073172	0.04535875602
139	0.9867855565	0.04527318573
140	0.9869387373	0.04498510564
141	0.9870575081	0.04471960264
142	0.9871373379	0.04466199057
143	0.9871902182	0.04427521868
144	0.9872371769	0.0441084855
145	0.9873173606	0.04391434157
146	0.9873689004	0.04358111243
147	0.9873482154	0.0435233059
148	0.9874207939	0.04346246775
149	0.9874265657	0.04340443721
150	0.9874396265	0.04334873881
151	0.9874525199	0.04329469378
152	0.9875051085	0.04322223341
153	0.9875510888	0.04294200078
154	0.9875639892	0.04286813208
155	0.9875633225	0.04280802526
156	0.9875696069	0.04271733056
157	0.9876495225	0.04258806493
158	0.9876890703	0.0423350319
159	0.9878428008	0.0419121463
160	0.9878964158	0.04184168858
161	0.9879359803	0.04177465431
162	0.9879159546	0.04170373297
163	0.9879354951	0.04158434593
164	0.9879282262	0.04148808262
165	0.9879747429	0.04142666095
166	0.9880818318	0.04100940727
167	0.9881281967	0.04089975628
168	0.98820848	0.04078555009
169	0.9882283538	0.04069569382
170	0.9883013884	0.04063450552
171	0.988320796	0.04044209041
172	0.9883879965	0.04031282277
173	0.9884883308	0.03994914154
174	0.988555376	0.0398631845
175	0.9885749534	0.03980410641
176	0.9885743405	0.0397454315
177	0.9885674054	0.03967472545
178	0.9885803566	0.03958495186
179	0.9886205902	0.03949077925
180	0.9886199797	0.03947065001
181	0.9886333917	0.03942353049
182	0.9887476194	0.03914327074
183	0.9887809229	0.03909181779
184	0.9887871025	0.03905393074
185	0.9887935833	0.03899403674
186	0.988779117	0.0389362058
187	0.9887723346	0.0389010857
188	0.9888189093	0.03885076544
189	0.9888792005	0.03862838074
190	0.9888516233	0.03859158976
191	0.9889191473	0.03854254156
192	0.988958652	0.03843892181
193	0.9889652859	0.03837278082
194	0.9890659798	0.03813826113
195	0.9891192057	0.03799438894
196	0.9891327681	0.03794474213
197	0.9891321848	0.03789876066
198	0.9891854178	0.03784580503
199	0.9892256705	0.03774873837
200	0.9892654912	0.037700253
201	0.9892719844	0.03765577829
202	0.989331723	0.03759774741
203	0.9893514946	0.03750596831
204	0.9893643434	0.0374716169
205	0.9893842603	0.03743389854
206	0.9893975386	0.03740639502
207	0.9893971117	0.03737206542
208	0.9893838328	0.03728133011
209	0.9893901874	0.03715709148
210	0.9894036091	0.037135863
211	0.9894236706	0.03711163115
212	0.9894437323	0.03704801999
213	0.9894572957	0.03700531939
214	0.9894577202	0.03692360961
215	0.9894509388	0.03688528937
216	0.9894510804	0.03670366179
217	0.9894575787	0.03666616071
218	0.9894839978	0.03662384233
219	0.9895176227	0.03654490907
220	0.9895179041	0.03646668978
221	0.9895180448	0.03641987855
222	0.9895721495	0.03625599778
223	0.9895721495	0.03621123641
224	0.9896052128	0.0361393223
225	0.9896319163	0.03609552231
226	0.989651979	0.0360596075
227	0.9896925204	0.03594640572
228	0.989685879	0.03592197742
229	0.9897875653	0.035832916
230	0.9898481585	0.03568818974
231	0.9899084785	0.03552882692
232	0.9899285403	0.03550760918
233	0.9899486023	0.0354171294
