iter	Passed	Remaining
0	105	52823
1	143	35621
2	174	28856
3	205	25438
4	237	23534
5	269	22164
6	299	21059
7	328	20202
8	358	19561
9	388	19041
10	417	18564
11	447	18197
12	479	17980
13	514	17862
14	545	17633
15	577	17471
16	610	17356
17	643	17221
18	677	17160
19	709	17032
20	740	16885
21	769	16710
22	801	16612
23	831	16495
24	864	16419
25	896	16344
26	927	16251
27	957	16144
28	991	16106
29	1024	16056
30	1063	16083
31	1098	16065
32	1130	16001
33	1166	15981
34	1197	15904
35	1230	15857
36	1268	15878
37	1304	15855
38	1338	15825
39	1377	15843
40	1418	15883
41	1456	15883
42	1502	15967
43	1550	16067
44	1596	16139
45	1635	16137
46	1671	16109
47	1705	16062
48	1740	16023
49	1775	15978
50	1809	15932
51	1843	15883
52	1875	15813
53	1909	15769
54	1942	15718
55	1973	15648
56	2009	15614
57	2045	15586
58	2087	15601
59	2120	15552
60	2154	15504
61	2222	15701
62	2266	15724
63	2303	15695
64	2333	15617
65	2364	15546
66	2394	15473
67	2423	15395
68	2460	15367
69	2489	15290
70	2519	15224
71	2551	15167
72	2583	15113
73	2615	15058
74	2651	15027
75	2685	14981
76	2717	14929
77	2748	14869
78	2777	14799
79	2805	14727
80	2835	14666
81	2866	14613
82	2898	14559
83	2928	14504
84	2959	14450
85	2989	14392
86	3021	14344
87	3058	14320
88	3088	14263
89	3121	14219
90	3152	14167
91	3180	14105
92	3210	14050
93	3239	13989
94	3271	13948
95	3303	13901
96	3332	13845
97	3362	13793
98	3393	13745
99	3420	13681
100	3452	13637
101	3483	13591
102	3514	13547
103	3547	13506
104	3576	13455
105	3605	13400
106	3636	13357
107	3667	13313
108	3700	13275
109	3732	13233
110	3759	13174
111	3787	13120
112	3814	13065
113	3850	13036
114	3880	12992
115	3909	12943
116	3939	12894
117	3968	12847
118	3999	12806
119	4030	12763
120	4059	12716
121	4094	12687
122	4125	12645
123	4156	12602
124	4185	12555
125	4218	12520
126	4250	12483
127	4281	12444
128	4308	12391
129	4339	12350
130	4367	12302
131	4399	12263
132	4428	12220
133	4461	12184
134	4491	12144
135	4520	12098
136	4547	12049
137	4580	12014
138	4612	11978
139	4639	11929
140	4671	11894
141	4702	11856
142	4731	11812
143	4769	11791
144	4801	11754
145	4832	11716
146	4864	11682
147	4897	11647
148	4927	11607
149	4953	11558
150	4981	11513
151	5009	11469
152	5039	11430
153	5073	11398
154	5103	11359
155	5130	11313
156	5158	11269
157	5189	11232
158	5219	11194
159	5247	11150
160	5280	11118
161	5310	11080
162	5337	11036
163	5366	10995
164	5396	10956
165	5426	10918
166	5460	10888
167	5490	10850
168	5521	10815
169	5550	10774
170	5579	10733
171	5610	10698
172	5641	10662
173	5678	10639
174	5714	10613
175	5746	10578
176	5780	10548
177	5812	10515
178	5846	10483
179	5875	10445
180	5901	10400
181	5929	10361
182	5965	10333
183	5994	10294
184	6022	10254
185	6051	10215
186	6082	10180
187	6106	10134
188	6134	10093
189	6166	10061
190	6191	10016
191	6218	9975
192	6248	9939
193	6276	9900
194	6311	9871
195	6340	9834
196	6369	9797
197	6401	9763
198	6432	9730
199	6463	9694
200	6492	9658
201	6521	9620
202	6551	9584
203	6580	9547
204	6609	9511
205	6633	9467
206	6662	9430
207	6696	9401
208	6732	9374
209	6765	9342
210	6789	9299
211	6815	9258
212	6847	9225
213	6875	9189
214	6911	9161
215	6937	9121
216	6973	9094
217	7003	9059
218	7034	9025
219	7064	8991
220	7090	8951
221	7119	8915
222	7157	8890
223	7188	8857
224	7218	8822
225	7248	8788
226	7277	8751
227	7306	8715
228	7334	8679
229	7366	8647
230	7394	8610
231	7423	8575
232	7448	8535
233	7477	8499
234	7505	8463
235	7539	8434
236	7572	8403
237	7600	8366
238	7628	8330
239	7656	8294
240	7685	8259
241	7717	8227
242	7745	8191
243	7774	8157
244	7805	8123
245	7837	8092
246	7869	8060
247	7900	8027
248	7932	7996
249	7960	7960
250	7989	7925
251	8020	7892
252	8056	7865
253	8086	7831
254	8119	7801
255	8146	7764
256	8174	7729
257	8208	7699
258	8237	7664
259	8269	7633
260	8301	7601
261	8326	7563
262	8353	7527
263	8383	7494
264	8409	7457
265	8436	7422
266	8470	7391
267	8499	7358
268	8528	7323
269	8558	7290
270	8591	7260
271	8622	7227
272	8648	7191
273	8681	7160
274	8714	7129
275	8742	7095
276	8766	7057
277	8800	7027
278	8831	6995
279	8859	6961
280	8885	6925
281	8914	6891
282	8948	6861
283	8982	6832
284	9019	6804
285	9058	6778
286	9096	6751
287	9133	6723
288	9170	6695
289	9207	6667
290	9234	6632
291	9275	6607
